,haulid,region,year,yearsurv,month,stratum,lat,lon,depth,bottemp,surftemp_orig,adjSST,surftemp,sppocean,Freq,wtcpue
310792,004-292-00224,SEFSC_GOMexFall,2010,2010,11,29.5--83.5-50,29.54716667,-83.94916667,33.46704,21.6899,21.5,NA,21.5,centropristis striata_Atl,5405,0.074340228
310857,004-292-00227,SEFSC_GOMexFall,2010,2010,11,29.5--83.5-50,29.31525,-83.87316667,36.75888,22.0782,21.70000076,NA,21.70000076,centropristis striata_Atl,5405,0.110719489
310970,004-292-00235,SEFSC_GOMexFall,2010,2010,11,29.5--84.5-50,29.07266667,-84.03175,50.10912,22.9118,22.60000038,NA,22.60000038,centropristis striata_Atl,5405,0.097105092
324476,004-299-00230,SEFSC_GOMexSummer,2012,2012,7,29.5--84.5-50,29.41416667,-84.51625,49.74336,27.0592,30.29999924,NA,30.29999924,centropristis striata_Atl,5405,0.137632842
328486,004-301-00178,SEFSC_GOMexFall,2012,2012,11,29.5--84.5-50,29.48191667,-84.74891667,39.86784,21.3505,21.5,NA,21.5,centropristis striata_Atl,5405,0.03346189
328524,004-301-00179,SEFSC_GOMexFall,2012,2012,11,29.5--84.5-50,29.62925,-84.67608333,32.36976,21.5627,21.5,NA,21.5,centropristis striata_Atl,5405,0.775377098
328594,004-301-00181,SEFSC_GOMexFall,2012,2012,11,29.5--84.5-50,29.67333333,-84.43658333,33.10128,21.9995,21.3,NA,21.3,centropristis striata_Atl,5405,0.031342132
328609,004-301-00182,SEFSC_GOMexFall,2012,2012,11,29.5--84.5-50,29.68516667,-84.39783333,33.46704,21.9976,21.6,NA,21.6,centropristis striata_Atl,5405,0.052489239
328714,004-301-00187,SEFSC_GOMexFall,2012,2012,11,29.5--83.5-50,29.4975,-83.93408333,34.38144,21.7506,21.7,NA,21.7,centropristis striata_Atl,5405,0.36858875
351726,017-083-00035,SEFSC_GOMexSummer,2008,2008,8,28.5--83.5-50,28.61125,-83.36833333,34.19856,NA,30.22999954,29.08352341,30.22999954,centropristis striata_Atl,5405,0.043697292
351744,017-083-00036,SEFSC_GOMexSummer,2008,2008,8,28.5--83.5-50,28.52258333,-83.50625,73.51776,NA,30,29.08352341,30,centropristis striata_Atl,5405,0.186008741
351781,017-083-00037,SEFSC_GOMexSummer,2008,2008,8,28.5--83.5-50,28.73158333,-83.53925,36.75888,NA,29.84000015,29.08352341,29.84000015,centropristis striata_Atl,5405,0.249783167
353732,017-097-00066,SEFSC_GOMexFall,2009,2009,10,27.5--83.5-50,27.91616667,-83.19216667,36.75888,26.6356,23.6449,NA,23.6449,centropristis striata_Atl,5405,0.133149114
353785,017-097-00068,SEFSC_GOMexFall,2009,2009,10,27.5--83.5-50,27.88483333,-83.28975,46.81728,26.5729,22.3646,NA,22.3646,centropristis striata_Atl,5405,0.113487476
353998,017-097-00076,SEFSC_GOMexFall,2009,2009,10,28.5--83.5-50,28.40841667,-83.44141667,40.05072,26.2668,25.4298,NA,25.4298,centropristis striata_Atl,5405,0.276946348
354036,017-097-00077,SEFSC_GOMexFall,2009,2009,10,28.5--83.5-50,28.39591667,-83.3605,36.75888,26.0567,26.1031,NA,26.1031,centropristis striata_Atl,5405,0.032001504
354101,017-097-00079,SEFSC_GOMexFall,2009,2009,10,28.5--83.5-50,28.75675,-83.10116667,18.65376,24.2549,23.8116,NA,23.8116,centropristis striata_Atl,5405,0.022009692
354164,017-097-00080,SEFSC_GOMexFall,2009,2009,10,28.5--83.5-50,28.86758333,-83.21875,20.48256,23.837,23.8333,NA,23.8333,centropristis striata_Atl,5405,0.158255056
354191,017-097-00081,SEFSC_GOMexFall,2009,2009,10,28.5--83.5-50,28.91616667,-83.44608333,31.45536,24.9741,25.759,NA,25.759,centropristis striata_Atl,5405,0.072730691
354423,017-097-00092,SEFSC_GOMexFall,2009,2009,10,29.5--83.5-50,29.35258333,-83.8555,33.46704,25.2655,19.5479,NA,19.5479,centropristis striata_Atl,5405,0.082861037
354441,017-097-00093,SEFSC_GOMexFall,2009,2009,10,29.5--83.5-50,29.4725,-83.79616667,28.3464,26.2417,26.2152,NA,26.2152,centropristis striata_Atl,5405,0.073465637
354471,017-097-00094,SEFSC_GOMexFall,2009,2009,10,29.5--83.5-50,29.67466667,-83.88575,23.40864,24.5735,24.5471,NA,24.5471,centropristis striata_Atl,5405,0.078289393
354485,017-097-00095,SEFSC_GOMexFall,2009,2009,10,29.5--84.5-50,29.79266667,-84.25916667,20.66544,24.4224,24.4146,NA,24.4146,centropristis striata_Atl,5405,0.346301989
354551,017-097-00096,SEFSC_GOMexFall,2009,2009,10,29.5--84.5-50,29.3825,-84.32408333,25.78608,25.531,25.5419,NA,25.5419,centropristis striata_Atl,5405,0.035430236
354565,017-097-00097,SEFSC_GOMexFall,2009,2009,10,29.5--84.5-50,29.52083333,-84.55675,22.49424,NA,NA,NA,NA,centropristis striata_Atl,5405,0.461666717
354687,017-097-00102,SEFSC_GOMexFall,2009,2009,10,29.5--85.5-50,29.51783333,-85.37708333,31.82112,23.7786,23.112,NA,23.112,centropristis striata_Atl,5405,0.252735687
357351,017-1007-00054,SEFSC_GOMexFall,2010,2010,10,28.5--83.5-50,28.29725,-83.52866667,46.81728,24.3533,25.7222,NA,25.7222,centropristis striata_Atl,5405,0.05550737
360222,017-102-00127,SEFSC_GOMexSummer,2010,2010,7,28.5--83.5-50,28.16883333,-83.08383333,27.432,NA,NA,29.44167512,29.44167512,centropristis striata_Atl,5405,0.026267244
360248,017-102-00128,SEFSC_GOMexSummer,2010,2010,7,28.5--83.5-50,28.43466667,-83.07975,23.40864,NA,NA,29.44167512,29.44167512,centropristis striata_Atl,5405,0.481260712
360292,017-102-00129,SEFSC_GOMexSummer,2010,2010,7,28.5--83.5-50,28.50758333,-83.01041667,18.65376,NA,NA,29.44167512,29.44167512,centropristis striata_Atl,5405,0.055913342
360322,017-102-00130,SEFSC_GOMexSummer,2010,2010,7,28.5--83.5-50,28.53525,-83.01416667,18.10512,NA,NA,29.44167512,29.44167512,centropristis striata_Atl,5405,0.031555054
360373,017-102-00135,SEFSC_GOMexSummer,2010,2010,7,28.5--83.5-50,28.46441667,-83.73491667,53.58384,NA,NA,29.44167512,29.44167512,centropristis striata_Atl,5405,0.083207373
360648,017-102-00145,SEFSC_GOMexSummer,2010,2010,7,29.5--84.5-50,29.54658333,-84.48691667,36.75888,NA,NA,29.97930875,29.97930875,centropristis striata_Atl,5405,0.138594748
361007,017-1102-00012,SEFSC_GOMexSummer,2011,2011,6,29.5--87.5-50,29.88775,-87.88858333,31.0896,24.2,30.2,28.8921515,30.2,centropristis striata_Atl,5405,0.01743832
361282,017-1103-00006,SEFSC_GOMexSummer,2011,2011,6,29.5--85.5-50,29.72925,-85.44308333,23.04288,28.3768,28.4704,29.19741601,28.4704,centropristis striata_Atl,5405,0.116329276
363754,017-1103-00106,SEFSC_GOMexSummer,2011,2011,6,27.5--82.5-50,27.87716667,-82.99133333,19.38528,NA,NA,28.39159017,28.39159017,centropristis striata_Atl,5405,0.037328285
366502,017-1203-00076,SEFSC_GOMexSummer,2012,2012,6,26.5--82.5-50,26.50133333,-82.30966667,21.39696,29.1969,29.3275,NA,29.3275,centropristis striata_Atl,5405,0.076575027
367135,017-1203-00114,SEFSC_GOMexSummer,2012,2012,6,28.5--83.5-50,28.3825,-83.252,32.73552,27.2301,28.4415,NA,28.4415,centropristis striata_Atl,5405,0.067468608
367688,017-1203-00138,SEFSC_GOMexSummer,2012,2012,7,29.5--83.5-50,29.32716667,-83.56975,23.7744,27.9054,27.9246,NA,27.9246,centropristis striata_Atl,5405,0.178372915
367717,017-1203-00140,SEFSC_GOMexSummer,2012,2012,7,29.5--83.5-50,29.35016667,-83.77941667,32.36976,27.4973,27.7476,NA,27.7476,centropristis striata_Atl,5405,0.143381738
367800,017-1203-00144,SEFSC_GOMexSummer,2012,2012,7,29.5--83.5-50,29.17683333,-83.99066667,40.05072,27.4159,27.6224,NA,27.6224,centropristis striata_Atl,5405,0.200580855
367886,017-1203-00148,SEFSC_GOMexSummer,2012,2012,7,29.5--84.5-50,29.16366667,-84.64691667,56.87568,26.6799,28.3457,NA,28.3457,centropristis striata_Atl,5405,0.162864797
367940,017-1203-00150,SEFSC_GOMexSummer,2012,2012,7,29.5--83.5-50,29.72416667,-83.9385,24.50592,27.3857,28.0793,NA,28.0793,centropristis striata_Atl,5405,0.423981829
367988,017-1203-00152,SEFSC_GOMexSummer,2012,2012,7,29.5--84.5-50,29.652,-84.60066667,33.10128,27.3015,27.4738,NA,27.4738,centropristis striata_Atl,5405,0.285803907
368003,017-1203-00153,SEFSC_GOMexSummer,2012,2012,7,29.5--84.5-50,29.63016667,-84.66033333,30.35808,27.1971,27.8243,NA,27.8243,centropristis striata_Atl,5405,0.077717938
368554,017-1302-00012,SEFSC_GOMexSummer,2013,2013,6,29.5--84.5-50,29.41908333,-84.895,45.53712,25.7586,26.5726,NA,26.5726,centropristis striata_Atl,5405,0.062808146
371342,017-1302-00128,SEFSC_GOMexSummer,2013,2013,6,28.5--83.5-50,28.95833333,-83.79275,43.15968,26.3985,28.5348,NA,28.5348,centropristis striata_Atl,5405,0.108062221
371420,017-1302-00134,SEFSC_GOMexSummer,2013,2013,6,29.5--83.5-50,29.442,-83.73416667,23.95728,28.6128,29.5378,NA,29.5378,centropristis striata_Atl,5405,0.215349406
371443,017-1302-00137,SEFSC_GOMexSummer,2013,2013,6,29.5--83.5-50,29.83083333,-83.77391667,9.50976,29.5709,29.569,NA,29.569,centropristis striata_Atl,5405,0.822645803
372260,017-1305-00008,SEFSC_GOMexFall,2013,2013,10,29.5--84.5-50,29.02675,-84.72533333,67.29984,26.952,27.9953,NA,27.9953,centropristis striata_Atl,5405,0.000571455
373368,017-1305-00061,SEFSC_GOMexFall,2013,2013,10,28.5--82.5-50,28.4575,-82.91208333,9.69264,26.3266,26.3232,NA,26.3232,centropristis striata_Atl,5405,0.013581591
373567,017-1305-00070,SEFSC_GOMexFall,2013,2013,10,29.5--84.5-50,29.63458333,-84.07183333,27.79776,27.1678,26.9882,NA,26.9882,centropristis striata_Atl,5405,0.028787067
373586,017-1305-00071,SEFSC_GOMexFall,2013,2013,10,29.5--84.5-50,29.79225,-84.46858333,19.56816,26.5318,26.2599,NA,26.2599,centropristis striata_Atl,5405,0.103522722
376044,017-1402-00117,SEFSC_GOMexSummer,2014,2014,6,27.5--82.5-50,27.669,-82.97866667,23.7744,28.6308,28.5777,NA,28.5777,centropristis striata_Atl,5405,0.137963193
376960,017-1402-00166,SEFSC_GOMexSummer,2014,2014,6,28.5--83.5-50,28.22933333,-83.28233333,34.93008,28.4541,29.2308,NA,29.2308,centropristis striata_Atl,5405,0.192651911
377034,017-1402-00178,SEFSC_GOMexSummer,2014,2014,6,29.5--84.5-50,29.57616667,-84.13075,35.6616,26.0722,28.3511,NA,28.3511,centropristis striata_Atl,5405,0.084003948
377048,017-1402-00181,SEFSC_GOMexSummer,2014,2014,6,29.5--84.5-50,29.87108333,-84.21341667,13.53312,26.4616,28.2574,NA,28.2574,centropristis striata_Atl,5405,0.099433244
377071,017-1402-00182,SEFSC_GOMexSummer,2014,2014,6,29.5--84.5-50,29.616,-84.36433333,36.576,24.7247,28.9943,NA,28.9943,centropristis striata_Atl,5405,0.054288266
377096,017-1402-00183,SEFSC_GOMexSummer,2014,2014,6,29.5--84.5-50,29.66308333,-84.54933333,26.5176,24.7035,27.8915,NA,27.8915,centropristis striata_Atl,5405,0.047240315
377145,017-1402-00185,SEFSC_GOMexSummer,2014,2014,6,29.5--84.5-50,29.44741667,-84.7755,45.72,NA,NA,NA,NA,centropristis striata_Atl,5405,0.656602285
380913,017-1406-00163,SEFSC_GOMexFall,2014,2014,10,28.5--83.5-50,28.69391667,-83.03075,14.6304,23.9949,23.9962,NA,23.9962,centropristis striata_Atl,5405,2.045810427
380938,017-1406-00164,SEFSC_GOMexFall,2014,2014,10,28.5--83.5-50,28.88083333,-83.29616667,27.432,25.2524,24.279,NA,24.279,centropristis striata_Atl,5405,0.014494188
