"","haulid","region","year","yearsurv","month","stratum","lat","lon","depth","bottemp","surftemp_orig","adjSST","surftemp","sppocean","Freq","wtcpue"
"19059","004-138-39744","SEFSC_GOMexFall",1983,1983,10,"29.5--88.5-50",29.8908333333333,-88.1758333333333,60.16752,NA,NA,NA,NA,"echinarachnius parma_Atl",1128,0.00531453546708389
"89273","004-195-53174","SEFSC_GOMexSummer",1991,1991,6,"28.5--94.5-150",28.0825,-94.6941666666667,100.40112,21.82,29.38,28.5634700870427,29.38,"echinarachnius parma_Atl",1128,0.0928516541375577
"89357","004-195-53180","SEFSC_GOMexSummer",1991,1991,6,"27.5--94.5-150",27.9758333333333,-94.465,150.51024,19.57,29.71,28.7812683896617,29.71,"echinarachnius parma_Atl",1128,0.0402616323263931
"415850","019-198701-053","AFSC_EBS",1987,1987,6,"20",59.31767,-165.33317,18,4.5,NA,3.51051746871667,3.51051746871667,"echinarachnius parma_Pac",347,0.0191
"417593","019-198701-128","AFSC_EBS",1987,1987,7,"41",58.6855,-171.71617,91,2.9,NA,7.6409246251856,7.6409246251856,"echinarachnius parma_Pac",347,0.0198
"417606","019-198701-129","AFSC_EBS",1987,1987,7,"41",58.35467,-171.6625,95,3.1,NA,7.6409246251856,7.6409246251856,"echinarachnius parma_Pac",347,0.1424
"435453","023-199601-029","AFSC_GOA",1996,1996,5,"11",54.11223,-163.579,89,4.3,6.2,5.60145606190415,6.2,"echinarachnius parma_Pac",347,0.005
"439231","023-199701-010","AFSC_Aleutians",1997,1997,6,"721",54.03863,-166.6572,90,4.9,5.9,6.41333852491065,5.9,"echinarachnius parma_Pac",347,0.0089
"447572","023-199901-016","AFSC_GOA",1999,1999,5,"11",54.01135,-164.2027,82,3.9,3.9,3.85113339134704,3.9,"echinarachnius parma_Pac",347,0.0049
"448788","023-199901-102","AFSC_GOA",1999,1999,6,"22",56.35665,-155.6903,70,4.1,5.9,7.02611678354615,5.9,"echinarachnius parma_Pac",347,0.0206
"451889","023-200001-010","AFSC_Aleutians",2000,2000,5,"721",54.23911,-165.9106,61,4.3,4.9,4.594005823207,4.9,"echinarachnius parma_Pac",347,0.0181
"484752","037-198301-018","AFSC_EBS",1983,1983,6,"31",57.3465,-161.5245,55,4.9,8,6.80947970005251,8,"echinarachnius parma_Pac",347,4.047
"484774","037-198301-019","AFSC_EBS",1983,1983,6,"31",57.00433,-161.53933,68,3,8,6.80947970005251,8,"echinarachnius parma_Pac",347,0.3119
"484898","037-198301-026","AFSC_EBS",1983,1983,6,"31",56.987,-162.77433,60,2.8,8.6,7.12438302885942,8.6,"echinarachnius parma_Pac",347,0.0523
